generation,best,average
0,1.4235,1.0476
10,3.7438,2.5640
20,3.7972,2.9461
30,4.2329,3.1125
40,4.6413,3.2419
50,4.7351,3.3400
60,5.0518,3.5533
70,5.7585,4.8228
80,6.6401,5.9349
90,7.4907,6.8438
100,8.0603,7.5558
110,8.4979,8.1171
120,8.8047,8.5228
130,9.0205,8.8072
140,9.1986,9.0122
150,9.3115,9.1698
160,9.3997,9.2783
170,9.4553,9.3518
180,9.4978,9.4126
190,9.5302,9.4513
200,9.5541,9.4860
210,9.5786,9.5139
220,9.5968,9.5300
230,9.6081,9.5490
240,9.6194,9.5616
250,9.6318,9.5746
260,9.6405,9.5876
270,9.6484,9.5974
280,9.6571,9.6098
290,9.6650,9.6162
300,9.6708,9.6204
310,9.6774,9.6302
320,9.6819,9.6303
330,9.6887,9.6400
340,9.6926,9.6456
350,9.6971,9.6476
360,9.7009,9.6515
370,9.7039,9.6600
380,9.7073,9.6611
390,9.7090,9.6643
400,9.7130,9.6658
410,9.7130,9.6705
420,9.7156,9.6735
430,9.7168,9.6773
440,9.7184,9.6717
450,9.7208,9.6749
460,9.7223,9.6782
470,9.7238,9.6756
480,9.7257,9.6802
490,9.7283,9.6838
500,9.7288,9.6836
510,9.7307,9.6856
520,9.7329,9.6877
530,9.7348,9.6887
540,9.7356,9.6902
550,9.7372,9.6928
560,9.7385,9.6942
570,9.7410,9.6910
580,9.7418,9.6949
590,9.7432,9.6950
600,9.7452,9.6996
610,9.7465,9.7034
620,9.7477,9.7037
630,9.7487,9.7051
640,9.7497,9.7049
650,9.7509,9.7082
660,9.7518,9.7095
670,9.7531,9.7074
680,9.7543,9.7099
690,9.7553,9.7105
700,9.7559,9.7129
710,9.7562,9.7126
720,9.7577,9.7148
730,9.7581,9.7098
740,9.7591,9.7166
750,9.7596,9.7179
760,9.7605,9.7147
770,9.7610,9.7192
780,9.7623,9.7187
790,9.7631,9.7167
800,9.7633,9.7160
810,9.7641,9.7185
820,9.7647,9.7220
