state,count,percentage
0,54276,0.9075
1,36431,0.6091
2,94498,1.5800
3,85860,1.4356
4,65226,1.0906
5,21494,0.3594
6,37446,0.6261
7,84435,1.4118
8,23421,0.3916
9,14132,0.2363
10,32028,0.5355
11,14418,0.2411
12,34049,0.5693
13,24516,0.4099
14,76024,1.2711
15,74405,1.2441
16,12948,0.2165
17,28558,0.4775
18,30848,0.5158
19,43410,0.7258
20,32748,0.5476
21,36688,0.6134
22,114752,1.9187
23,66070,1.1047
24,41269,0.6900
25,116890,1.9544
26,92826,1.5521
27,36210,0.6054
28,73119,1.2226
29,80922,1.3530
30,75628,1.2645
31,109361,1.8285
32,39087,0.6535
33,16171,0.2704
34,56445,0.9438
35,21498,0.3595
36,34998,0.5852
37,46317,0.7744
38,50117,0.8380
39,36080,0.6033
40,45567,0.7619
41,24010,0.4015
42,26737,0.4470
43,72453,1.2114
44,44904,0.7508
45,43538,0.7280
46,41706,0.6973
47,121447,2.0306
48,16157,0.2701
49,21190,0.3543
50,26046,0.4355
51,66567,1.1130
52,53425,0.8933
53,36798,0.6153
54,39079,0.6534
55,51435,0.8600
56,19485,0.3258
57,37137,0.6209
58,46669,0.7803
59,30499,0.5099
60,20731,0.3466
61,32801,0.5484
62,27786,0.4646
63,13737,0.2297
64,85086,1.4227
65,48675,0.8139
66,15428,0.2580
67,73540,1.2296
68,16594,0.2775
69,81921,1.3697
70,34652,0.5794
71,82592,1.3810
72,37418,0.6256
73,41888,0.7004
74,70687,1.1819
75,25160,0.4207
76,74918,1.2526
77,66509,1.1120
78,67852,1.1345
79,31055,0.5192
80,43986,0.7355
81,44663,0.7468
82,48142,0.8049
83,45013,0.7526
84,35631,0.5958
85,29738,0.4972
86,24878,0.4160
87,55236,0.9236
88,76981,1.2871
89,28070,0.4693
90,38252,0.6396
91,24990,0.4178
92,24078,0.4026
93,13987,0.2339
94,24173,0.4042
95,61224,1.0237
96,47609,0.7960
97,67265,1.1247
98,109692,1.8341
99,70316,1.1757
100,85284,1.4260
101,28383,0.4746
102,93038,1.5556
103,42836,0.7162
104,18087,0.3024
105,47379,0.7922
106,21487,0.3593
107,66670,1.1147
108,55940,0.9353
109,60663,1.0143
110,26831,0.4486
111,36864,0.6164
112,37676,0.6299
113,51739,0.8651
114,46250,0.7733
115,49746,0.8318
116,45254,0.7567
117,22649,0.3787
118,71790,1.2003
119,27670,0.4626
120,21427,0.3583
121,43629,0.7295
122,21933,0.3667
123,38882,0.6501
124,32487,0.5432
125,39378,0.6584
126,25955,0.4340
127,27451,0.4590
